Samples,PAN,DIN,SEC,BAL,WCA,TET,CRO,DIP
BEL_001_g,0,1,0,0,0,0,0,1
BEL_001_l,0,1,0,0,0,0,0,1
BEL_001_m,0,1,0,0,0,0,0,1
BEL_001_n,0,1,0,0,0,0,0,1
BEL_001_o,0,1,0,0,0,0,0,1
BIH_001_f,0,1,0,0,0,0,0,1
BIH_001_j,0,1,0,0,0,0,0,1
BIH_001_k,0,1,0,0,0,0,0,1
BIH_001_p,0,1,0,0,0,0,0,1
FOJ_001_b,0,1,0,0,0,0,0,1
FOJ_001_c,0,1,0,0,0,0,0,1
FOJ_001_d,0,1,0,0,0,0,0,1
FOJ_001_e,0,1,0,0,0,0,0,1
FOJ_001_f,0,1,0,0,0,0,0,1
FOJ_001_g,0,1,0,0,0,0,0,1
FOJ_001_h,0,1,0,0,0,0,0,1
GOR_001_a,0,0,1,0,0,0,0,1
GOR_001_b,0,0,1,0,0,0,0,1
GOR_001_c,0,0,1,0,0,0,0,1
GOR_001_e,0,0,1,0,0,0,0,1
GOR_001_f,0,0,1,0,0,0,0,1
GOR_001_p,0,0,1,0,0,0,0,1
GOR_001_q,0,0,1,0,0,0,0,1
GOR_001_t,0,0,1,0,0,0,0,1
HNE_002_1,1,0,0,0,0,0,0,1
HNE_005_1,1,0,0,0,0,0,0,1
HNE_011_1,1,0,0,0,0,0,0,1
HNE_012_1,1,0,0,0,0,0,0,1
HNE_014_1,1,0,0,0,0,0,0,1
HNE_018_1,1,0,0,0,0,0,0,1
HNE_019_1,1,0,0,0,0,0,0,1
HNI_002_1,0,0,0,0,1,0,0,1
KZL_004_1,1,0,0,0,0,0,0,1
KZL_009_1,1,0,0,0,0,0,0,1
KZL_017_1,1,0,0,0,0,0,0,1
KZL_020_1,1,0,0,0,0,0,0,1
KZL_021_1,1,0,0,0,0,0,0,1
MIE_001_a,0,0,0,1,0,0,0,1
MIE_001_b,0,0,0,1,0,0,0,1
MIE_001_c,0,0,0,1,0,0,0,1
MIE_001_d,0,0,0,1,0,0,0,1
MIE_001_e,0,0,0,1,0,0,0,1
MIE_001_f,0,0,0,1,0,0,0,1
MIE_001_g,0,0,0,1,0,0,0,1
MIE_001_h,0,0,0,1,0,0,0,1
PRE_001_f,0,0,0,1,0,0,0,1
PRE_001_k,0,0,0,1,0,0,0,1
PRE_001_l,0,0,0,1,0,0,0,1
PRE_001_m,0,0,0,1,0,0,0,1
PRE_001_n,0,0,0,1,0,0,0,1
PRE_001_o,0,0,0,1,0,0,0,1
PRE_001_p,0,0,0,1,0,0,0,1
PRE_001_q,0,0,0,1,0,0,0,1
RZA_010_1,0,0,1,0,0,0,0,1
RZA_013_1,0,0,1,0,0,0,0,1
RZA_018_1,0,0,1,0,0,0,0,1
SNO_003_1,0,0,0,0,1,0,0,1
SNO_004_1,0,0,0,0,1,0,0,1
SNO_005_1,0,0,0,0,1,0,0,1
SZI_008_1,1,0,0,0,0,0,0,1
SZI_012_1,1,0,0,0,0,0,0,1
SZI_027_1,1,0,0,0,0,0,0,1
SZI_029_1,1,0,0,0,0,0,0,1
TRD_001_bs,0,0,0,0,1,0,0,1
TRD_001_m,0,0,0,0,1,0,0,1
TRD_001_n,0,0,0,0,1,0,0,1
TRD_001_p,0,0,0,0,1,0,0,1
VEL_001_a,0,0,0,0,1,0,0,1
VEL_001_b,0,0,0,0,1,0,0,1
VEL_001_d,0,0,0,0,1,0,0,1
VEL_001_e,0,0,0,0,1,0,0,1
VEL_001_k,0,0,0,0,1,0,0,1
VEL_001_l,0,0,0,0,1,0,0,1
VEL_001_n,0,0,0,0,1,0,0,1
VEL_001_o,0,0,0,0,1,0,0,1
VID_001_b,0,0,1,0,0,0,0,1
VID_001_k,0,0,1,0,0,0,0,1
VID_001_m,0,0,1,0,0,0,0,1
VID_001_n,0,0,1,0,0,0,0,1
VID_001_o,0,0,1,0,0,0,0,1
BRD_001_a,0,0,0,0,0,1,0,0
BRD_001_c,0,0,0,0,0,1,0,0
BRD_001_d,0,0,0,0,0,1,0,0
BRD_001_i,0,0,0,0,0,1,0,0
BRD_001_m,0,0,0,0,0,1,0,0
CHO_001_c,0,0,0,0,0,1,0,0
GUL_001_1,0,0,0,0,0,1,0,0
GUL_002_1,0,0,0,0,0,1,0,0
GUL_005_1,0,0,0,0,0,1,0,0
GUL_006_1,0,0,0,0,0,1,0,0
GUL_007_1,0,0,0,0,0,1,0,0
GUL_008_1,0,0,0,0,0,1,0,0
GUL_009_1,0,0,0,0,0,1,0,0
GUL_010_1,0,0,0,0,0,1,0,0
HOC_004_1,0,0,0,0,0,1,0,0
HOC_010_1,0,0,0,0,0,1,0,0
HOC_015_1,0,0,0,0,0,1,0,0
HOC_017_1,0,0,0,0,0,1,0,0
HOC_020_1,0,0,0,0,0,1,0,0
HOC_021_1,0,0,0,0,0,1,0,0
KAS_016_1,0,0,0,0,0,1,0,0
KAS_018_1,0,0,0,0,0,1,0,0
KAS_019_1,0,0,0,0,0,1,0,0
KAS_029_1,0,0,0,0,0,1,0,0
KAS_030_1,0,0,0,0,0,1,0,0
KAS_031_1,0,0,0,0,0,1,0,0
KAS_032_1,0,0,0,0,0,1,0,0
KOS_007_1,0,0,0,0,0,1,0,0
KOS_011_1,0,0,0,0,0,1,0,0
KOS_012_1,0,0,0,0,0,1,0,0
RFT_003_1,0,0,0,0,0,1,0,0
RFT_006_1,0,0,0,0,0,1,0,0
RFT_008_1,0,0,0,0,0,1,0,0
RFT_009_1,0,0,0,0,0,1,0,0
RFT_012_1,0,0,0,0,0,1,0,0
RFT_023_1,0,0,0,0,0,1,0,0
SWA_001_1,0,0,0,0,0,1,0,0
SWA_002_1,0,0,0,0,0,1,0,0
SWA_003_1,0,0,0,0,0,1,0,0
SWA_004_1,0,0,0,0,0,1,0,0
SWA_007_1,0,0,0,0,0,1,0,0
CRO_001_bb,0,0,0,0,0,0,1,0
CRO_001_be,0,0,0,0,0,0,1,0
CRO_002_b,0,0,0,0,0,0,1,0
CRO_002_g,0,0,0,0,0,0,1,0
